freq,psd_x,psd_y,psd_z,psd_xyz,zv(52.2),mzv(52.8),ei(46.0),2hump_ei(41.0),3hump_ei(50.0)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.995,0.993,0.988,0.978,0.977
3.1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.988,0.983,0.971,0.946,0.942
4.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.979,0.971,0.948,0.903,0.897
6.2,8.842e+02,7.520e+01,5.674e+02,1.527e+03,0.968,0.956,0.921,0.852,0.844
7.7,7.098e+02,4.829e+01,3.137e+02,1.072e+03,0.954,0.938,0.889,0.793,0.783
9.2,6.550e+02,3.877e+01,1.909e+02,8.847e+02,0.939,0.919,0.853,0.728,0.716
10.8,7.118e+02,3.454e+01,1.311e+02,8.775e+02,0.922,0.897,0.813,0.658,0.645
12.3,6.062e+02,3.380e+01,1.043e+02,7.443e+02,0.904,0.873,0.770,0.585,0.572
13.8,5.314e+02,3.147e+01,8.504e+01,6.480e+02,0.883,0.847,0.723,0.512,0.498
15.4,5.479e+02,2.898e+01,6.174e+01,6.387e+02,0.861,0.819,0.675,0.438,0.426
16.9,5.972e+02,2.853e+01,5.449e+01,6.803e+02,0.837,0.790,0.625,0.367,0.356
18.5,6.457e+02,2.921e+01,6.250e+01,7.374e+02,0.812,0.759,0.573,0.299,0.289
20.0,6.843e+02,2.688e+01,5.972e+01,7.709e+02,0.784,0.727,0.521,0.236,0.229
21.5,7.352e+02,2.207e+01,7.304e+01,8.303e+02,0.756,0.693,0.469,0.179,0.174
23.1,8.136e+02,2.277e+01,6.286e+01,8.992e+02,0.726,0.658,0.417,0.129,0.127
24.6,9.084e+02,2.252e+01,5.410e+01,9.850e+02,0.695,0.622,0.365,0.087,0.089
26.2,1.010e+03,2.352e+01,4.222e+01,1.076e+03,0.662,0.586,0.316,0.053,0.060
27.7,1.087e+03,2.635e+01,2.972e+01,1.143e+03,0.629,0.549,0.268,0.032,0.042
29.2,1.215e+03,3.127e+01,2.042e+01,1.267e+03,0.594,0.511,0.222,0.028,0.037
30.8,1.381e+03,2.751e+01,1.709e+01,1.426e+03,0.558,0.474,0.179,0.033,0.038
