freq,psd_x,psd_y,psd_z,psd_xyz,zv(27.0),mzv(31.6),ei(43.8),2hump_ei(41.0),3hump_ei(48.4)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.988,0.986,0.987,0.978,0.976
3.1,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.969,0.966,0.969,0.946,0.939
4.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.943,0.938,0.944,0.903,0.892
6.2,2.007e+00,1.647e+02,1.281e+01,1.795e+02,0.909,0.904,0.915,0.852,0.836
7.7,2.152e+00,2.330e+02,9.091e+00,2.442e+02,0.869,0.864,0.880,0.793,0.772
9.2,2.178e+00,3.319e+02,6.745e+00,3.409e+02,0.822,0.819,0.841,0.728,0.702
10.8,4.531e+00,4.453e+02,8.407e+00,4.582e+02,0.769,0.769,0.798,0.658,0.629
12.3,1.001e+01,5.700e+02,1.899e+01,5.990e+02,0.712,0.714,0.751,0.585,0.553
13.8,5.531e+00,3.602e+02,2.846e+01,3.942e+02,0.649,0.657,0.702,0.512,0.477
15.4,1.975e+00,1.844e+02,2.402e+01,2.104e+02,0.582,0.597,0.650,0.438,0.402
16.9,1.566e+00,2.198e+02,1.884e+01,2.402e+02,0.511,0.535,0.597,0.367,0.331
18.5,2.091e+00,3.188e+02,1.601e+01,3.369e+02,0.438,0.472,0.542,0.299,0.265
20.0,2.901e+00,4.567e+02,1.574e+01,4.753e+02,0.362,0.409,0.487,0.236,0.204
21.5,3.903e+00,6.805e+02,1.727e+01,7.017e+02,0.284,0.346,0.432,0.179,0.152
23.1,6.619e+00,1.215e+03,2.304e+01,1.244e+03,0.205,0.285,0.378,0.129,0.107
24.6,2.434e+01,2.544e+03,4.793e+01,2.616e+03,0.127,0.226,0.325,0.087,0.072
26.2,3.938e+01,3.573e+03,9.432e+01,3.707e+03,0.073,0.170,0.275,0.053,0.048
27.7,2.397e+01,2.666e+03,9.607e+01,2.786e+03,0.070,0.117,0.226,0.032,0.038
29.2,4.330e+01,1.456e+03,5.044e+01,1.550e+03,0.119,0.070,0.181,0.028,0.037
30.8,1.191e+02,9.269e+02,3.447e+01,1.081e+03,0.192,0.040,0.140,0.033,0.039
32.3,8.802e+01,6.673e+02,6.121e+01,8.165e+02,0.265,0.037,0.102,0.037,0.040
33.9,1.545e+01,3.837e+02,7.563e+01,4.748e+02,0.334,0.055,0.070,0.038,0.037
35.4,4.554e+00,1.832e+02,7.342e+01,2.612e+02,0.400,0.082,0.042,0.035,0.031
36.9,3.551e+00,8.559e+01,7.840e+01,1.675e+02,0.462,0.104,0.024,0.028,0.024
38.5,2.170e+00,4.373e+01,1.169e+02,1.628e+02,0.520,0.120,0.021,0.019,0.017
40.0,1.527e+00,3.671e+01,2.554e+02,2.936e+02,0.572,0.130,0.029,0.012,0.012
41.5,2.877e+00,3.727e+01,3.454e+02,3.856e+02,0.620,0.133,0.036,0.011,0.014
43.1,4.012e+00,2.645e+01,1.345e+02,1.650e+02,0.661,0.131,0.040,0.016,0.019
44.6,5.122e+00,7.044e+01,1.116e+02,1.872e+02,0.697,0.123,0.039,0.024,0.025
46.2,4.506e+00,1.930e+02,5.167e+02,7.142e+02,0.727,0.109,0.033,0.030,0.028
47.7,2.504e+00,2.091e+02,1.030e+03,1.241e+03,0.751,0.096,0.029,0.032,0.030
49.2,8.151e+00,1.005e+02,9.423e+02,1.051e+03,0.768,0.087,0.028,0.030,0.029
50.8,1.169e+01,4.810e+01,7.479e+02,8.077e+02,0.779,0.081,0.032,0.027,0.026
